1 0
0.99903 0.00020571
0.99614 0.00087624
0.99134 0.0020859
0.98466 0.0038989
0.97614 0.0063667
0.9658 0.0095254
0.95371 0.013394
0.93989 0.017971
0.9244 0.023238
0.9073 0.029154
0.88862 0.03566
0.86844 0.042676
0.84682 0.050108
0.8238 0.057845
0.79948 0.065765
0.77391 0.073738
0.74719 0.081627
0.71939 0.089296
0.69062 0.096609
0.66099 0.10344
0.63061 0.10966
0.59959 0.11517
0.56808 0.11988
0.53621 0.1237
0.50411 0.1266
0.47194 0.12851
0.43984 0.12944
0.40797 0.12938
0.37646 0.12834
0.34547 0.12637
0.31512 0.12352
0.28557 0.11983
0.25693 0.11539
0.22934 0.11028
0.2029 0.10457
0.17772 0.098343
0.1539 0.091695
0.13154 0.084707
0.11072 0.077461
0.091509 0.070036
0.073988 0.062505
0.058216 0.05494
0.044246 0.047405
0.032126 0.039961
0.021897 0.032662
0.013591 0.025561
0.0072338 0.018704
0.0028437 0.012133
0.00043134 0.005887
0 1.1104e-17
0.0015454 -0.0054972
0.005056 -0.010578
0.010513 -0.015221
0.017889 -0.019407
0.027152 -0.023124
0.03826 -0.026363
0.051168 -0.029122
0.065821 -0.031402
0.082159 -0.03321
0.10012 -0.034558
0.11962 -0.035463
0.1406 -0.035945
0.16297 -0.036029
0.18664 -0.035742
0.21152 -0.035115
0.23752 -0.034177
0.26453 -0.032963
0.29245 -0.031503
0.32118 -0.029832
0.3506 -0.02798
0.38061 -0.025977
0.41108 -0.023853
0.4419 -0.021637
0.47295 -0.019353
0.50411 -0.017029
0.53526 -0.01469
0.56628 -0.01236
0.59705 -0.010064
0.62745 -0.007829
0.65736 -0.0056791
0.68667 -0.0036411
0.71525 -0.0017414
0.74301 -6.055e-06
0.76982 0.0015397
0.79559 0.0028723
0.82022 0.0039714
0.8436 0.0048207
0.86564 0.0054091
0.88626 0.0057326
0.90537 0.0057952
0.9229 0.0056102
0.93876 0.0052008
0.95291 0.0046008
0.96528 0.003855
0.97582 0.0030184
0.98449 0.0021561
0.99127 0.0013411
0.99612 0.00065352
0.99903 0.00017772
1 -0
