file_name,angle_nge2,angle_nge1,angle_0,angle_1,angle_2,angle_3,angle_4,angle_5,angle_6,angle_7,angle_8,angle_9,angle_10
DU91-W2-250_103,67.6591,67.6645,67.7405,67.8246,68.4803,69.2998,70.2507,71.1799,71.8903,72.1448,72.3398,72.1585,71.3531
DU91-W2-250_104,67.6988,67.7468,67.815,67.9283,68.7737,69.6527,70.6532,71.6298,72.4342,72.7976,73.0254,72.8327,72.2979
DU91-W2-250_105,68.0972,68.1569,68.2909,68.4213,69.1953,70.1272,71.2171,72.1213,72.9271,73.3679,73.7358,73.5008,73.2165
DU91-W2-250_106,67.236,67.2838,67.3253,67.41,68.0924,68.9214,69.8677,70.7937,71.4756,71.8321,72.1136,72.2049,74.8671
DU91-W2-250_107,67.3541,67.3696,67.3672,67.3988,68.066,68.8789,69.7573,70.5725,71.2583,71.4779,71.7449,71.6106,71.2053
DU91-W2-250_108,68.051,68.0786,68.1857,68.3345,69.092,69.9729,71.0022,71.9471,72.7166,73.1029,73.3897,73.2102,72.7984
DU91-W2-250_109,68.154,68.1863,68.3021,68.428,69.1594,70.0352,71.0576,71.9571,72.6999,73.0367,73.288,73.1705,72.7129
DU91-W2-250_110,67.663,67.6426,67.6499,67.6894,68.3526,69.1608,70.0519,70.8692,71.5665,71.7799,72.1023,71.974,71.3719
DU91-W2-250_111,67.9239,67.8816,67.913,68.0213,68.7111,69.4623,70.3418,71.2007,71.9508,72.1448,72.4682,72.5019,72.9128
DU91-W2-250_112,68.1586,68.1797,68.2776,68.3487,69.0663,69.9275,70.9038,71.8369,72.5544,72.8367,73.0531,72.8973,72.1887
DU91-W2-250_113,67.4568,67.4116,67.4395,67.5107,68.1671,68.9741,69.8463,70.6793,71.3611,71.5922,71.7661,71.537,70.709
DU91-W2-250_114,68.0763,68.0827,68.1494,68.214,68.9204,69.7559,70.6946,71.5637,72.2629,72.5051,72.8022,72.6814,72.1032
DU91-W2-250_115,67.6573,67.7062,67.7918,67.8403,68.5563,69.4354,70.4163,71.2836,71.9987,72.2961,72.4658,72.2759,71.5227
DU91-W2-250_116,68.0804,68.0439,68.0748,68.1318,68.8119,69.6533,70.4937,71.329,72.0476,72.2609,72.46,72.2196,71.3843
DU91-W2-250_117,67.3137,67.2809,67.3222,67.3303,67.9454,68.6714,69.483,70.2701,70.9395,71.1641,71.4827,71.3853,71.4796
DU91-W2-250_118,68.0093,68.0215,68.0747,68.1639,68.8904,69.7612,70.7238,71.5989,72.3341,72.6412,72.8659,72.591,71.9078
DU91-W2-250_119,67.7497,67.763,67.8429,67.8868,68.5511,69.3672,70.3294,71.1633,71.8577,72.1626,72.4412,72.526,73.4613
DU91-W2-250_120,68.4092,68.4173,68.417,68.4624,69.1562,69.9443,70.8256,71.6981,72.4188,72.5976,72.7991,72.533,71.716
DU91-W2-250_121,67.6881,67.7101,67.7426,67.8043,68.5141,69.3679,70.3309,71.1728,71.8995,72.1666,72.3746,72.249,71.557
DU91-W2-250_122,68.1776,68.2304,68.3246,68.4032,69.1669,70.0759,71.0694,71.9474,72.7096,73.0592,73.3041,73.0449,72.4117
DU91-W2-250_123,67.8672,67.831,67.8557,67.9429,68.5995,69.3678,70.2198,71.0554,71.7589,72.0494,72.38,73.0898,77.0919
DU91-W2-250_124,67.7345,67.7924,67.9135,68.0449,68.796,69.7143,70.7625,71.6455,72.4332,72.8747,73.121,73.0217,72.7368
