file_name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
CQU-DTUB18_1,28.9891,32.3373,35.4984,38.4678,40.9952,43.3902,45.658,47.619,49.4875,51.5875,53.6405,55.8221,58.1056,60.4636,62.5834,63.2687,61.8763,59.5921,57.4986,55.4648,54.2008,53.6827,53.1256,51.9059,50.2348,48.481,46.6385,44.8734,43.0509,40.9457,38.9377
CQU-DTUB18_2,31.8614,35.0153,37.9929,40.7918,43.1774,45.4434,47.5995,49.4902,51.3584,53.5573,55.7064,57.9126,60.1884,62.537,63.8849,63.3626,60.9979,58.8572,56.928,55.301,54.6421,54.2112,53.3039,51.61,49.9291,48.1655,46.2993,44.5008,42.6314,40.4547,38.3616
CQU-DTUB18_3,25.4772,29.0657,32.4554,35.6397,38.3481,40.9106,43.3301,45.408,47.3455,49.4119,51.3477,53.4406,55.7147,58.0688,60.28,62.2542,62.4124,60.6637,58.5397,56.5597,55.3097,54.5616,53.6631,52.1054,50.439,48.6888,46.8296,45.0297,43.1539,40.9704,38.8772
CQU-DTUB18_4,26.9125,30.4029,33.6993,36.7961,39.431,41.9257,44.2841,46.3143,48.2201,50.2914,52.2722,54.4082,56.6907,59.0411,61.2453,62.7973,62.39,60.2789,58.2473,56.4101,55.3749,54.644,53.61,51.9071,50.2357,48.4746,46.5974,44.7762,42.8743,40.655,38.5222
CQU-DTUB18_5,26.1905,29.7298,33.0724,36.2121,38.8825,41.4094,43.7958,45.8468,47.7645,49.8279,51.7827,53.8973,56.1772,58.5308,60.7465,62.5284,62.3994,60.4139,58.2617,56.1753,54.7598,54.0277,53.3362,52.0683,50.4015,48.6515,46.805,45.0281,43.1871,41.0559,39.0224
CQU-DTUB18_6,26.1823,29.722,33.0649,36.2047,38.875,41.4014,43.7871,45.837,47.7533,49.8147,51.7679,53.8817,56.1617,58.5158,60.7324,62.5167,62.3863,60.3862,58.1937,56.0082,54.4209,53.5519,52.9877,51.9987,50.4068,48.6569,46.8192,45.0599,43.2459,41.1564,39.1714
CQU-DTUB18_7,28.4989,31.8804,35.073,38.0719,40.624,43.0415,45.3292,47.3046,49.1785,51.267,53.3016,55.4743,57.7589,60.1139,62.2645,63.1792,62.031,59.7211,57.6019,55.5123,54.1443,53.5495,53.0309,51.9204,50.2659,48.5124,46.6729,44.9126,43.0974,41.004,39.0105
CQU-DTUB18_8,28.0425,31.4552,34.6774,37.7041,40.2796,42.7187,45.026,47.016,48.8973,50.978,52.9963,55.1598,57.4447,59.7977,61.9686,63.0858,62.1681,59.8709,57.7679,55.7245,54.4189,53.8339,53.2211,51.9608,50.2908,48.5378,46.6924,44.9211,43.0894,40.9714,38.9506
CQU-DTUB18_9,29.8677,33.1561,36.2607,39.1774,41.6607,44.0153,46.2475,48.1835,50.0452,52.1694,54.2543,56.4482,58.7291,61.0958,63.0707,63.3755,61.5931,59.3391,57.2609,55.2623,54.078,53.6345,53.0957,51.8556,50.1819,48.4278,46.5867,44.8244,43.0057,40.9047,38.8996
CQU-DTUB18_10,27.171,30.6437,33.9233,37.0043,39.626,42.1085,44.4558,46.4776,48.3783,50.4518,52.4415,54.5843,56.8675,59.2177,61.4158,62.8771,62.363,60.208,58.1893,56.3709,55.362,54.6376,53.5918,51.879,50.2068,48.4443,46.5652,44.7422,42.8382,40.6162,38.4804
CQU-DTUB18_11,31.1366,34.3393,37.3629,40.2044,42.6253,44.9232,47.1064,49.0119,50.8744,53.0439,55.1719,57.3758,59.6529,62.0198,63.6326,63.4173,61.2132,59.0341,57.0526,55.2941,54.4798,54.0952,53.3325,51.7511,50.0745,48.3171,46.4622,44.6783,42.8279,40.6784,38.616
CQU-DTUB18_12,25.2615,28.8646,32.2682,35.4653,38.1843,40.7564,43.1842,45.2684,47.21,49.2755,51.2043,53.2899,55.562,57.9174,60.1263,62.1515,62.3919,60.7046,58.5433,56.4866,55.1115,54.3416,53.5351,52.1209,50.4546,48.7062,46.8547,45.0668,43.2081,41.0502,38.9864
CQU-DTUB18_13,25.7099,29.282,32.6559,35.8248,38.5198,41.0693,43.4759,45.5427,47.471,49.533,51.4726,53.5719,55.8486,58.2035,60.4191,62.335,62.3936,60.5403,58.3521,56.2039,54.6763,53.8489,53.2022,52.0761,50.4325,48.6835,46.8421,45.0734,43.2442,41.1313,39.1194
CQU-DTUB18_14,25.9724,29.5267,32.8836,36.0367,38.7185,41.2559,43.6519,45.7106,47.6336,49.6969,51.6452,53.7531,56.0316,58.3856,60.6017,62.4462,62.4041,60.4817,58.3274,56.2473,54.8394,54.099,53.3821,52.0806,50.414,48.6644,46.8168,45.0375,43.1925,41.0554,39.0151
