1 0.0024807
0.99903 0.0026544
0.99614 0.0032026
0.99134 0.0041566
0.98464 0.0055359
0.97608 0.0073499
0.96569 0.0096004
0.95351 0.012283
0.93958 0.015391
0.92396 0.018913
0.90671 0.022838
0.88789 0.027155
0.86757 0.03185
0.84582 0.036909
0.82273 0.042314
0.79838 0.048043
0.77286 0.054067
0.74625 0.060349
0.71866 0.066842
0.69017 0.073484
0.66088 0.080204
0.6309 0.086914
0.60032 0.093516
0.56924 0.099898
0.53779 0.10594
0.50607 0.11152
0.47421 0.1165
0.44232 0.12076
0.41054 0.12419
0.37901 0.12666
0.34787 0.1281
0.31727 0.12843
0.28737 0.12761
0.25831 0.12561
0.23024 0.12245
0.20332 0.11818
0.17768 0.11287
0.15345 0.10661
0.13074 0.099533
0.10966 0.091773
0.090289 0.08348
0.072701 0.074806
0.05695 0.065904
0.043078 0.056918
0.031116 0.047978
0.021082 0.039196
0.012986 0.030663
0.0068333 0.022446
0.002622 0.014588
0.00034707 0.0071068
0 1.3498e-17
0.0015696 -0.0067541
0.005042 -0.013191
0.0104 -0.019357
0.017625 -0.0253
0.026692 -0.031067
0.037573 -0.036699
0.050238 -0.042225
0.064648 -0.047658
0.080762 -0.052992
0.09853 -0.058201
0.1179 -0.063239
0.1388 -0.068042
0.16117 -0.072526
0.18492 -0.076597
0.20997 -0.080152
0.23621 -0.083088
0.26355 -0.085303
0.29185 -0.086707
0.321 -0.087225
0.35086 -0.086811
0.3813 -0.085441
0.41218 -0.083117
0.44335 -0.079871
0.4747 -0.075765
0.50607 -0.070889
0.53736 -0.065358
0.56843 -0.05931
0.59917 -0.052897
0.62947 -0.046281
0.65923 -0.039628
0.68835 -0.0331
0.71673 -0.026849
0.74428 -0.021014
0.7709 -0.01571
0.79648 -0.011031
0.82095 -0.0070411
0.8442 -0.0037762
0.86613 -0.0012432
0.88666 0.00057922
0.9057 0.0017384
0.92316 0.0023041
0.93898 0.0023647
0.95308 0.0020221
0.96541 0.001387
0.97591 0.00057342
0.98455 -0.00030567
0.9913 -0.0011429
0.99613 -0.0018399
0.99903 -0.0023102
1 -0.0024807
